,user_id,number_of_cards,outstanding,credit_limit,bill,total_cash_usage,total_retail_usage,remaining_bill,branch_code,payment_ratio,overlimit_percentage,payment_ratio_3month,payment_ratio_6month,delinquency_score,default_flag,years_since_card_issuing,total_usage,remaining_bill_per_number_of_cards,remaining_bill_per_limit,total_usage_per_limit,total_3mo_usage_per_limit,utilization_3month
0,2.0,2.0,268691.0,10000000.0,254564.0,0.0,1012.0,0.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1012.0,0.0,0.0,0.00010120000000000001,0.0,0.004231625
1,3.0,3.0,6769149.0,28000000.0,4159779.0,0.0,0.0,0.0,A,100.0,0.0,100.0,100.91,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.040517857000000004,0.249389277
2,5.0,2.0,9402085.0,10000000.0,6099283.0,0.0,2666558.0,5951865.0,A,95.99,0.0,97.49,99.84,0.0,0.0,1.6666666669999999,2666558.0,2975932.5,0.5951865,0.2666558,0.323027,0.707865025
3,6.0,2.0,6227439.0,80000000.0,2081248.0,0.0,3690250.0,4613435.0,A,0.0,0.0,28.46,42.03,0.0,0.0,10.25,3690250.0,2306717.5,0.057667937999999995,0.046128125,0.017184375,0.038963606
4,7.0,2.0,3906290.0,4000000.0,2043682.0,0.0,230400.0,3314046.0,A,18.47,0.0,24.95,17.89,0.0,0.0,4.666666667,230400.0,1657023.0,0.8285115,0.0576,0.01875,1.014775813
5,8.0,4.0,9534837.0,20000000.0,3692028.0,0.0,9327612.0,7881069.0,A,58.55,0.0,105.24,166.67,0.0,0.0,0.75,9327612.0,1970267.25,0.39405345,0.4663806,0.2392893,0.261753338
6,10.0,4.0,1818606.0,7000000.0,1765911.0,0.0,0.0,1627786.0,A,100.0,0.0,58.4,62.68,0.0,0.0,8.5,0.0,406946.5,0.232540857,0.0,0.075,0.315145179
7,11.0,4.0,55520052.0,84000000.0,12626615.0,0.0,31036235.0,0.0,A,100.0,0.0,100.0,100.0,0.0,0.0,14.5,31036235.0,0.0,0.0,0.36947898799999995,0.164046339,0.39665598799999996
8,12.0,3.0,7004631.0,23000000.0,610083.0,0.0,0.0,0.0,A,100.13,0.0,74.99,18.52,0.0,0.0,10.66666667,0.0,0.0,0.0,0.0,0.057634076,0.342642826
9,15.0,3.0,8640053.0,7000000.0,8035169.0,0.0,326100.0,8269767.0,A,17.53,23.26,29.47,24.24,0.0,0.0,6.666666667,326100.0,2756589.0,1.1813952859999999,0.046585714,0.250685714,1.163175571
