,user_id,number_of_cards,outstanding,credit_limit,bill,total_cash_usage,total_retail_usage,remaining_bill,branch_code,payment_ratio,overlimit_percentage,payment_ratio_3month,payment_ratio_6month,delinquency_score,default_flag,years_since_card_issuing,total_usage,remaining_bill_per_number_of_cards,remaining_bill_per_limit,total_usage_per_limit,total_3mo_usage_per_limit,utilization_3month,remaining_bill_over_outstanding,total_card_usage,limit_per_card,outstanding_per_card_limit,orig_prob,calibrated_prob,class_predicted
0,2.0,2.0,268691.0,10000000.0,254564.0,0.0,1012.0,0.0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1012.0,0.0,0.0,0.0001012,0.0,0.004231625,0.0,1012.0,5000000.0,0.0537382,0.5276848375176487,0.24830741956349872,0
1,3.0,3.0,6769149.0,28000000.0,4159779.0,0.0,0.0,0.0,A,100.0,0.0,100.0,100.91,0.0,0.0,10.75,0.0,0.0,0.0,0.0,0.040517857,0.249389277,0.0,0.0,9333333.333333334,0.7252659642857142,0.006746397611983623,0.06214869990643186,0
2,5.0,2.0,9402085.0,10000000.0,6099283.0,0.0,2666558.0,5951865.0,A,95.99,0.0,97.49,99.84,0.0,0.0,1.666666667,2666558.0,2975932.5,0.5951865,0.2666558,0.323027,0.707865025,0.6330367147287012,2666558.0,5000000.0,1.880417,0.000779834715225855,0.003394488570484249,0
3,6.0,2.0,6227439.0,80000000.0,2081248.0,0.0,3690250.0,4613435.0,A,0.0,0.0,28.46,42.03,0.0,0.0,10.25,3690250.0,2306717.5,0.057667938,0.046128125,0.017184375,0.038963606,0.7408237961062324,3690250.0,40000000.0,0.155685975,0.0002937971477664589,0.004878048780487805,0
4,7.0,2.0,3906290.0,4000000.0,2043682.0,0.0,230400.0,3314046.0,A,18.47,0.0,24.95,17.89,0.0,0.0,4.666666667,230400.0,1657023.0,0.8285115,0.0576,0.01875,1.014775813,0.8483870885162136,230400.0,2000000.0,1.953145,0.014038758247204493,0.02962504335938542,0
5,8.0,4.0,9534837.0,20000000.0,3692028.0,0.0,9327612.0,7881069.0,A,58.55,0.0,105.24,166.67,0.0,0.0,0.75,9327612.0,1970267.25,0.39405345,0.4663806,0.2392893,0.261753338,0.8265551891448171,9327612.0,5000000.0,1.9069674,0.010416111219239165,0.030901114967978,0
6,10.0,4.0,1818606.0,7000000.0,1765911.0,0.0,0.0,1627786.0,A,100.0,0.0,58.4,62.68,0.0,0.0,8.5,0.0,406946.5,0.232540857,0.0,0.075,0.315145179,0.895073479357266,0.0,1750000.0,1.0392034285714287,0.004207664317333996,0.027657228220127388,0
7,11.0,4.0,55520052.0,84000000.0,12626615.0,0.0,31036235.0,0.0,A,100.0,0.0,100.0,100.0,0.0,0.0,14.5,31036235.0,0.0,0.0,0.369478988,0.164046339,0.396655988,0.0,31036235.0,21000000.0,2.643812,0.0004946816643957851,0.0,0
8,12.0,3.0,7004631.0,23000000.0,610083.0,0.0,0.0,0.0,A,100.13,0.0,74.99,18.52,0.0,0.0,10.66666667,0.0,0.0,0.0,0.0,0.057634076,0.342642826,0.0,0.0,7666666.666666667,0.9136475217391304,0.004907419044772052,0.022773702271325302,0
9,15.0,3.0,8640053.0,7000000.0,8035169.0,0.0,326100.0,8269767.0,A,17.53,23.26,29.47,24.24,0.0,0.0,6.666666667,326100.0,2756589.0,1.181395286,0.046585714,0.250685714,1.163175571,0.9571430869694897,326100.0,2333333.3333333335,3.702879857142857,0.25383896158722336,0.14464838556753432,0
